,abv,brewery_location,brewery_name,ibu,id,name,size,style
677,6.4%,"Indianapolis, IN",Sun King Brewing Company,75,1999,Fistful Of Hops Blue,16 oz,American IPA
678,5.6%,"Frankenmuth, MI",Frankenmuth Brewery,N/A,1998,Old Detroit,12 oz,American Amber / Red Ale
679,7.0%,"Grand Rapids, MI",Brewery Vivant,N/A,1997,Pumpkin Tart,16 oz.,Fruit / Vegetable Beer
680,6.4%,"Indianapolis, IN",Sun King Brewing Company,75,1996,Fistful of Hops Green,16 oz.,American IPA
681,5.5%,"Chandler, AZ",SanTan Brewing Company,N/A,1995,Oktoberfest,12 oz.,Märzen / Oktoberfest
682,7.9%,"Cincinnati, OH",Madtree Brewing Company,18,1994,The Great Pumpcan,16 oz.,Fruit / Vegetable Beer
683,5.8%,"Cincinnati, OH",Rhinegeist Brewery,35,1993,Panther,12 oz.,American Porter
684,5.2%,"Cincinnati, OH",Rhinegeist Brewery,21,1992,Franz,12 oz.,Märzen / Oktoberfest
685,5.7%,"Aurora, IN",Great Crescent Brewery,18,1990,Cherry Ale,16 oz.,Fruit / Vegetable Beer
686,5.8%,"Kalamazoo, MI",Bell's Brewery,N/A,1989,Oberon,16 oz.,American Pale Wheat Ale
687,7.0%,"Kalamazoo, MI",Bell's Brewery,N/A,1988,Two Hearted,16 oz.,American IPA
688,5.0%,"Fort Collins, CO",New Belgium Brewing Company,29,1987,Shift,12 oz.,American Pale Lager
689,6.9%,"Somerset Center, MI",Meckley's Cidery,N/A,1986,Bushwhacker Cider,16 oz,Cider
690,6.9%,"Somerset Center, MI",Meckley's Cidery,N/A,1985,Weim-R-Iner,16 oz.,Cider
691,6.9%,"Somerset Center, MI",Meckley's Cidery,N/A,1984,Cherry Bomb,16 oz.,Cider
692,5.0%,"Baltimore, MD",Stillwater Artisanal Ales,N/A,1983,Brontide,12 oz.,American Black Ale
693,4.0%,"Evanston, IL",Temperance Beer Company,N/A,1982,Greenwood Beach,12 oz.,Fruit / Vegetable Beer
694,9.0%,"Chicago, IL",Finch's Beer Company,N/A,1981,Hardcore Chimera,16 oz.,American Double / Imperial IPA
695,8.5%,"Gary, IN",18th Street Brewery,N/A,1980,Troll Destroyer,12 oz.,Belgian IPA
696,6.1%,"Gary, IN",18th Street Brewery,60,1979,Bitter Bitch,12 oz,American Pale Ale (APA)
697,5.6%,"Fort Collins, CO",New Belgium Brewing Company,21,1978,1554 Black Lager,12 oz,Euro Dark Lager
698,6.7%,"Grand Rapids, MI",Brewery Vivant,N/A,1977,Undertaker,16 oz.,Belgian Dark Ale
699,6.7%,"Grand Rapids, MI",Brewery Vivant,N/A,1976,Undertaker (2014),16 oz.,Belgian Dark Ale
700,4.8%,"Fort Collins, CO",New Belgium Brewing Company,N/A,1975,Blue Paddle,12 oz.,Czech Pilsener
701,5.0%,"Grand Rapids, MI",Brewery Vivant,N/A,1974,Coq D'Or,16 oz.,Belgian Pale Ale
702,6.0%,"Grand Rapids, MI",Brewery Vivant,N/A,1973,North French,16 oz.,Bière de Garde
703,7.0%,"South Austin, TX",South Austin Brewery,18,1972,LuckenBock,16 oz.,Bock
704,5.5%,"South Austin, TX",South Austin Brewery,40,1971,Texas Pale Ale (TPA),16 oz.,American IPA
705,8.0%,"South Austin, TX",South Austin Brewery,N/A,1970,6 String Saison,16 oz.,Saison / Farmhouse Ale
706,5.0%,"South Austin, TX",South Austin Brewery,22,1969,Kol' Beer,16 oz.,Kölsch
707,4.8%,"Buellton, CA",Figueroa Mountain Brewing Company,20,1968,FMB 101,12 oz.,Kölsch
708,5.4%,"Mishawaka, IN",Evil Czech Brewery,48,1967,General George Patton Pilsner,16 oz.,Czech Pilsener
709,5.4%,"Minneapolis, MN",Bauhaus Brew Labs,55,1966,Wagon Party,12 oz.,California Common / Steam Beer
710,6.7%,"Minneapolis, MN",Bauhaus Brew Labs,70,1965,Sky-Five,12 oz. ,American IPA
711,5.0%,"Minneapolis, MN",Bauhaus Brew Labs,28,1964,Stargrazer,12 oz.,Schwarzbier
712,5.4%,"Minneapolis, MN",Bauhaus Brew Labs,48,1963,Wonderstuff,12 oz.,German Pilsener
713,4.7%,"Brooklyn, NY",Sixpoint Craft Ales,50,1962,Sensi Harvest,12 oz. ,American Pale Ale (APA)
714,4.0%,"Rogers, AR",Ozark Beer Company,39,1961,Ozark American Pale Ale,12 oz.,American Pale Ale (APA)
715,5.8%,"Los Angeles, CA",Golden Road Brewing,35,1960,Saison Pamplemousse,12 oz.,Saison / Farmhouse Ale
716,6.5%,"Grand Rapids, MI",Brewery Vivant,N/A,1959,Agent a Deux,16 oz,Belgian Dark Ale
717,4.5%,"Grand Rapids, MI",Brewery Vivant,N/A,1958,Belgian Wit,16 oz.,Witbier
718,4.7%,"Paso Robles, CA",Firestone Walker Brewing Company,N/A,1957,805 Blonde Ale,12 oz,American Blonde Ale
719,4.2%,"Lafayette, IN",People's Brewing Company,N/A,1956,Farmer's Daughter Wheat,12 oz.,American Pale Wheat Ale
720,5.8%,"Kalamazoo, MI",Bell's Brewery,N/A,1955,Best Brown,16 oz.,American Brown Ale
721,5.6%,"Middleton, WI",Capital Brewery,55,1954,Ghost Ship White IPA,12 oz.,American IPA
722,5.2%,"Marquette, MI",Blackrocks Brewery,N/A,1953,Honey Lav,12 oz.,American Pale Wheat Ale
723,8.2%,"Mount Pleasant, MI",Mountain Town Brewing Company ,N/A,1952,Train Wreck,16 oz,American Amber / Red Ale
724,4.5%,"Bloomington, IN",Upland Brewing Company,15,1951,Upland Wheat Ale,16 oz.,Witbier
725,6.0%,"Bloomington, IN",Upland Brewing Company,N/A,1950,Dragonfly IPA,16 oz.,American IPA
726,6.3%,"Grand Rapids, MI",Brewery Vivant,N/A,1949,Pothole Stout,16 oz.,American Stout
727,???,"Indianapolis, IN",Sun King Brewing Company,N/A,1948,30 Min Coma,16 oz,Belgian IPA
728,9.3%,"Grand Rapids, MI",Brewery Vivant,N/A,1947,Tree Bucket,16 oz.,Belgian IPA
729,5.5%,"Waterbury, VT",Otter Creek Brewing,55,1946,Overgrown American Pale Ale,12 oz.,American Pale Ale (APA)
730,5.0%,"Baltimore, MD",The Brewer's Art,N/A,1945,Birdhouse Pale Ale,12 oz.,Belgian Pale Ale
731,7.0%,"Denver, CO",Denver Beer Company,N/A,1944,Incredible Pedal IPA,12 oz. ,American IPA
732,5.0%,"Denver, CO",Denver Beer Company,N/A,1943,Graham Cracker Porter,12 oz. ,American Porter
733,4.5%,"Durango, CO",Ska Brewing Company,N/A,1942,Rudie Session IPA,12 oz.,American IPA
734,3.9%,"Atlantic Highlands, NJ",Carton Brewing Company,9,1941,Monkey Chased the Weasel,16 oz.,Berliner Weissbier
735,7.8%,"Atlantic Highlands, NJ",Carton Brewing Company,80,1940,077XX,16 oz.,American Double / Imperial IPA
736,6.6%,"Evanston, IL",Temperance Beer Company,N/A,1939,Gatecrasher,12 oz.,English India Pale Ale (IPA)
737,6.2%,"Albuquerque, NM",Tractor Brewing Company,72,1938,Almanac IPA,12 oz.,American IPA
738,6.5%,"Albuquerque, NM",Tractor Brewing Company,N/A,1937,Milk Mustachio Stout,12 oz.,Milk / Sweet Stout
739,6.0%,"Albuquerque, NM",Tractor Brewing Company,30,1936,Farmer's Tan Red Ale,12 oz.,American Amber / Red Ale
740,4.3%,"Cincinnati, OH",Rhinegeist Brewery,45,1935,Zen,12 oz. ,American Pale Ale (APA)
741,5.0%,"Chandler, AZ",SanTan Brewing Company,15,1934,SunSpot Golden Ale,12 oz.,American Blonde Ale
742,7.0%,"Charlottesville, VA",Champion Brewing Company,65,1933,Missile IPA,12 oz.,American IPA
743,6.5%,"Boulder, CO",Upslope Brewing Company,33,1932,Thai Style White IPA,12 oz. ,American White IPA
744,4.6%,"Portland, ME",Peak Organic Brewing Company,N/A,1931,Fresh Cut Pilsner,12 oz. ,American Pilsner
745,5.0%,"Portland, ME",Peak Organic Brewing Company,61,1930,Summer Session Ale,12 oz. ,American Pale Wheat Ale
746,8.2%,"Shelburne, VT",Fiddlehead Brewing Company,80,1929,Second Fiddle,16 oz.,American Double / Imperial IPA
747,5.5%,"Hyannis, MA",Cape Cod Beer,35,1928,Cape Cod Red,16 oz.,American Amber / Red Ale
748,4.9%,"Hyannis, MA",Cape Cod Beer,10,1927,Beach Blonde,16 oz.,American Blonde Ale
749,5.9%,"Bridgewater Corners, VT",Long Trail Brewing Company,42,1926,Long Trail IPA,12 oz. ,English India Pale Ale (IPA)
750,4.0%,"Salt Lake City, UT",Uinta Brewing Company,42,1925,Trader Session IPA,12 oz.,American IPA
751,4.6%,"Bridgewater Corners, VT",Long Trail Brewing Company,30,1924,Long Trail Ale,12 oz. ,American Amber / Red Ale
752,5.2%,"Shreveport, LA",Great Raft Brewing Company,49,1923,Commotion APA,12 oz.,American Pale Ale (APA)
753,5.2%,"Shreveport, LA",Great Raft Brewing Company,N/A,1922,Southern Drawl Pale Lager,12 oz.,American Pale Lager
754,5.3%,"Juneau, AK",Alaskan Brewing Company,40,1921,Freeride APA,12 oz.,American Pale Ale (APA)
755,5.3%,"Juneau, AK",Alaskan Brewing Company,18,1920,Alaskan Amber,12 oz. ,Altbier
756,6.0%,"Chico, CA",Sierra Nevada Brewing Company,N/A,1919,Yonder Bock,12 oz. ,Maibock / Helles Bock
757,6.0%,"Chico, CA",Sierra Nevada Brewing Company,N/A,1918,CANfusion Rye Bock,12 oz.,Rye Beer
758,4.3%,"Ipswich, MA",Notch Brewing Company,N/A,1917,Left of the Dial IPA,12 oz. ,American IPA
759,6.0%,"Waterbury, VT",The Alchemist,N/A,1916,Petit Mutant,16 oz.,American Wild Ale
760,9.6%,"Waterbury, VT",The Alchemist,N/A,1915,The Crusher,16 oz.,American Double / Imperial IPA
761,8.0%,"Waterbury, VT",The Alchemist,N/A,1914,Beelzebub,16 oz.,American Double / Imperial Stout
762,5.3%,"Charlottesville, VA",Three Notch'd Brewing Company,22,1913,Hydraulion Red,12 oz.,Irish Red Ale
763,6.0%,"Charlottesville, VA",Three Notch'd Brewing Company,50,1912,40 Mile IPA,12 oz.,American IPA
764,4.5%,"Astoria, OR",Fort George Brewery,N/A,1911,Suicide Squeeze IPA,16 oz.,American IPA
765,4.6%,"Middleton, WI",Capital Brewery,18,1910,Lake House,16 oz.,Munich Helles Lager
766,9.9%,"Cleveland, OH",Portside Brewery,N/A,1909,Big Chuck Barleywine,12 oz. ,American Barleywine
767,5.5%,"Middlebury, VT",Otter Creek Brewing,45,1908,Fresh Slice White IPA,12 oz.,American White IPA
768,5.6%,"Montauk, NY",Montauk Brewing Company,28,1907,Montauk Summer Ale,12 oz.,American Blonde Ale
769,6.0%,"Montauk, NY",Montauk Brewing Company,49,1906,Driftwood Ale,12 oz.,Extra Special / Strong Bitter (ESB)
770,5.6%,"Chico, CA",Sierra Nevada Brewing Company,37,1905,Sierra Nevada Pale Ale,16 oz.,American Pale Ale (APA)
771,5.9%,"Austin, TX",Independence Brewing Company,27,1904,White Rabbit ,12 oz.,Witbier
772,6.8%,"Minneapolis, MN",Indeed Brewing Company,90,1903,Let It Ride IPA,12 oz. ,American IPA
773,5.6%,"Duluth, MN",Bent Paddle Brewing Company,32,1902,14° ESB ,12 oz.,Extra Special / Strong Bitter (ESB)
774,6.2%,"Duluth, MN",Bent Paddle Brewing Company,68,1901,Bent Hop Golden IPA,12 oz.,American IPA
775,5.5%,"South Deerfield, MA",Berkshire Brewing Company,40,1900,Lost Sailor IPA,12 oz.,English India Pale Ale (IPA)
776,7.8%,"Pawtucket, RI",Foolproof Brewing Company,N/A,1899,La Ferme Urbaine Farmhouse Ale,12 oz.,Saison / Farmhouse Ale
777,7.5%,"Temecula, CA",Black Market Brewing Company,35,1898,Blackmarket Rye IPA,12 oz. ,American IPA
778,5.0%,"Temecula, CA",Black Market Brewing Company,8,1897,Black Market Hefeweizen,12 oz.,Hefeweizen
779,5.8%,"Temecula, CA",Black Market Brewing Company,44,1896,Aftermath Pale Ale,12 oz.,American Pale Ale (APA)
780,7.6%,"Mill Valley, CA",Headlands Brewing Company,65,1895,Groupe G,16 oz.,Belgian IPA
781,6.2%,"Mill Valley, CA",Headlands Brewing Company,40,1894,Pt. Bonita Rustic Lager,16 oz.,American Pale Lager
782,8.8%,"Mill Valley, CA",Headlands Brewing Company,77,1893,Hill 88 Double IPA,16 oz.,American Double / Imperial IPA
783,4.2%,"Ridgefield Park, NJ",Bolero Snort Brewery,30,1891,Longhop IPA,16 oz.,American IPA
784,4.0%,"Ridgefield Park, NJ",Bolero Snort Brewery,34,1890,Lucky Buck,16 oz.,Irish Dry Stout
785,5.2%,"Kearney, NE",Thunderhead Brewing Company,N/A,1889,Leatherhead Red,12 oz. ,American Amber / Red Ale
786,9.6%,"Bloomington, IL",Destihl Brewery,85,1888,Hoperation Overload,12 oz. ,American Double / Imperial IPA
787,4.9%,"Bloomington, IL",Destihl Brewery,22,1887,Abbey's Single Ale (Current),12 oz.,Abbey Single Ale
788,4.5%,"Hays, KS",Defiance Brewing Company,44,1886,Thrasher Session India Pale Ale,12 oz. ,American IPA
789,5.0%,"Hays, KS",Defiance Brewing Company,16,1885,Gutch English Style Mild Ale,12 oz.,English Pale Mild Ale
790,8.7%,"Milwaukee, WI",Milwaukee Brewing Company,80,1884,Hop Freak,16 oz.,American Double / Imperial IPA
791,5.2%,"Longmont, CO",Oskar Blues Brewery,N/A,1883,Centennial State Pale Ale,19.2,American Pale Ale (APA)
792,4.8%,"Port Clinton, OH",Catawba Island Brewing,16,1882,Whitecap Wit,16 oz.,Witbier
793,7.8%,"Port Clinton, OH",Catawba Island Brewing,16,1881,Seiche Scottish Ale,16 oz.,Scottish Ale
794,7.1%,"Export, PA",Rivertowne Brewing Company,N/A,1880,All Aboard! Anniversary Stout,12 oz. ,Oatmeal Stout
795,6.2%,"Export, PA",Rivertowne Brewing Company,N/A,1879,Hop Lace,12 oz. ,American White IPA
796,4.8%,"Export, PA",Rivertowne Brewing Company,N/A,1878,OH-PA Session Pale Ale,12 oz.,American Pale Ale (APA)
797,8.0%,"Export, PA",Rivertowne Brewing Company,N/A,1877,Patrick's Poison,12 oz. ,American Amber / Red Ale
798,6.0%,"Gadsden, AL",Back Forty Beer Company,N/A,1876,Truck Stop Honey Brown Ale,12 oz.,English Brown Ale
799,6.0%,"Gadsden, AL",Back Forty Beer Company,43,1875,Naked Pig Pale Ale,12 oz.,American Pale Ale (APA)
800,7.6%,"Dallas, TX",Four Corners Brewing Company,73,1874,El Chingon IPA,12 oz.,American IPA
801,5.7%,"Dallas, TX",Four Corners Brewing Company,40,1873,Block Party Robust Porter,12 oz. ,American Porter
802,5.2%,"Dallas, TX",Four Corners Brewing Company,20,1872,Local Buzz,12 oz.,American Blonde Ale
803,5.0%,"Saint Louis, MO",4 Hands Brewing Company,28,1870,Contact High,12 oz.,American Pale Wheat Ale
804,5.0%,"San Diego, CA",Saint Archer Brewery,15,1868,Saint Archer White Ale,12 oz.,Witbier
805,6.8%,"San Diego, CA",Saint Archer Brewery,66,1867,Saint Archer IPA,12 oz.,American IPA
806,5.2%,"San Diego, CA",Saint Archer Brewery,40,1865,Saint Archer Pale Ale,12 oz.,American Pale Ale (APA)
807,4.8%,"San Diego, CA",Saint Archer Brewery,22,1864,Saint Archer Blonde,12 oz.,Kölsch
808,9.9%,"Blanco, TX",Real Ale Brewing Company,85,1861,BLAKKR,12 oz.,American Black Ale
809,5.1%,"Newport, OR",Rogue Ales,N/A,1860,Rogue American Amber Ale,16 oz.,American Amber / Red Ale
810,8.0%,"Longmont, CO",Oskar Blues Brewery,N/A,1859,Old Chub NITRO,16 oz.,Scotch Ale / Wee Heavy
811,5.5%,"Shelburne, VT",Fiddlehead Brewing Company,30,1858,Hodad Porter,16 oz.,American Porter
812,6.9%,"Seattle, WA",Hale's Ales,67,1857,Supergoose IPA,12 oz.,American IPA
813,7.3%,"Idaho Springs, CO",Tommyknocker Brewery,87,1856,IPA & a Half,12 oz.,American IPA
814,5.3%,"Lewiston, ME",Baxter Brewing Company,N/A,1855,Tarnation California-Style Lager,12 oz.,California Common / Steam Beer
815,6.9%,"Northamtpon, MA",Northampton Brewery,N/A,1854,Blue Boots IPA,16 oz.,American IPA
816,7.5%,"Boulder, CO",Upslope Brewing Company,30,1853,Ferus Fluxus Wild Belgian Pale Ale,19.2 oz.,American Wild Ale
817,7.2%,"Cincinnati, OH",Rhinegeist Brewery,75,1852,Truth,12 oz.,American IPA
818,4.8%,"Cincinnati, OH",Rhinegeist Brewery,25,1851,Cougar,12 oz.,American Blonde Ale
819,7.1%,"Denver, CO",Black Shirt Brewing Company,83,1850,American India Red Ale,12 oz.,American Strong Ale
820,7.1%,"Denver, CO",Black Shirt Brewing Company,45,1849,American Red Porter,12 oz.,American Porter
821,7.8%,"Denver, CO",Black Shirt Brewing Company,34,1848,American Red Saison,12 oz.,Saison / Farmhouse Ale
822,6.6%,"Denver, CO",Black Shirt Brewing Company,44,1847,Colorado Red Ale,12 oz.,American Amber / Red Ale
823,4.0%,"Westminster, MA",Wachusett Brewing Company,37,1846,Wachusett Light IPA,12 oz.,American IPA
824,6.0%,"Westminster, MA",Wachusett Brewing Company,55,1845,Green Monsta IPA,12 oz.,American IPA
825,5.6%,"Westminster, MA",Wachusett Brewing Company,50,1844,Wachusett IPA,12 oz.,American IPA
826,4.7%,"Westminster, MA",Wachusett Brewing Company,N/A,1843,Strawberry White,12 oz.,Witbier
827,5.6%,"Lansdale, PA",Round Guys Brewing,40,1842,Original Slacker Ale,12 oz.,English Brown Ale
828,7.2%,"Lansdale, PA",Round Guys Brewing,N/A,1841,Alpha Blackback,12 oz.,American Black Ale
829,4.5%,"Ashland, VA",Center of the Universe Brewing C...,24,1839,Chin Music Amber Lager,12 oz.,American Amber / Red Lager
830,4.9%,"Portland, OR",Widmer Brothers Brewing Company,30,1838,Hefe Lemon,12 oz.,Radler
831,4.9%,"Portland, OR",Widmer Brothers Brewing Company,30,1837,Hefe Black,12 oz.,Hefeweizen
832,4.9%,"Portland, OR",Widmer Brothers Brewing Company,30,1836,Widmer Brothers Hefeweizen,12 oz.,Hefeweizen
833,4.2%,"Pittsburgh, PA",Hop Farm Brewing Company,25,1835,Provision,12 oz.,Saison / Farmhouse Ale
834,4.7%,"Pittsburgh, PA",Hop Farm Brewing Company,28,1834,One Nut Brown,12 oz.,American Brown Ale
835,5.8%,"Pittsburgh, PA",Hop Farm Brewing Company,45,1833,Hop Farm IPA,12 oz.,American IPA
836,5.8%,"York, PA",Liquid Hero Brewery,40,1832,Adam's Stout,12 oz.,American Stout
837,6.5%,"Utica, NY",Matt Brewing Company,60,1831,Our Legacy IPA,12 oz.,American IPA
838,4.5%,"Boston, MA",Boston Beer Company,8,1830,Porch Rocker,12 oz.,Radler
839,4.2%,"Chicago, IL",Goose Island Brewing Company,18,1829,312 Urban Wheat Ale,12 oz.,American Pale Wheat Ale
840,6.0%,"Danville, PA",Old Forge Brewing Company,N/A,1828,Hopsmith Pale Lager,16 oz.,American Pale Lager
841,6.0%,"Dallas, TX",Deep Ellum Brewing Company,N/A,1827,Deep Ellum Pale Ale,12 oz.,American Pale Ale (APA)
842,4.0%,"Salt Lake City, UT",Utah Brewers Cooperative,N/A,1826,Squatters Full Suspension Pale Ale,12 oz.,American Pale Ale (APA)
843,9.0%,"Salt Lake City, UT",Utah Brewers Cooperative,75,1825,Squatters Hop Rising Double IPA,12 oz.,American Double / Imperial IPA
844,8.0%,"Salt Lake City, UT",Utah Brewers Cooperative,N/A,1824,Devastator Double Bock,12 oz.,Doppelbock
845,6.0%,"Salt Lake City, UT",Utah Brewers Cooperative,N/A,1823,Wasatch Ghostrider White IPA,12 oz.,American White IPA
846,9.6%,"Chicago, IL",Spiteful Brewing Company,N/A,1821,Bitter Biker Double IPA,12 oz.,American Double / Imperial IPA
847,7.3%,"Chicago, IL",Spiteful Brewing Company,N/A,1820,Ghost Bike Pale Ale,16 oz.,American Pale Ale (APA)
848,6.2%,"Chicago, IL",Spiteful Brewing Company,N/A,1819,Spiteful IPA,12 oz.,American IPA
849,4.2%,"Boonville, CA",Anderson Valley Brewing Company,N/A,1818,Keebarlin' Pale Ale,12 oz.,American Pale Ale (APA)
850,5.5%,"Evansville, IN",Tin Man Brewing Company,N/A,1817,Klingon Warnog Roggen Dunkel,16 oz.,Roggenbier
851,4.7%,"Cincinnati, OH",Madtree Brewing Company,11,1816,LIFT,12 oz.,Kölsch
852,5.0%,"Cincinnati, OH",Madtree Brewing Company,40,1815,SPRYE,12 oz.,American Pale Ale (APA)
853,6.3%,"Anchorage, AK",Midnight Sun Brewing Company,61,1814,Pleasure Town IPA,12 oz.,American IPA
854,5.1%,"South Burlington, VT",Magic Hat Brewing Company,20,1813,#9,16 oz.,Fruit / Vegetable Beer
855,8.0%,"Canton, MA",Blue Hills Brewery,80,1812,Quarter Mile Double IPA,12 oz.,American Double / Imperial IPA
856,5.5%,"Everett, MA",Night Shift Brewing,N/A,1811,Marblehead,16 oz.,American Amber / Red Ale
857,7.0%,"Waterbury, VT",The Alchemist,N/A,1810,Focal Banger,16 oz.,American IPA
858,5.0%,"Washington, DC",DC Brau Brewing Company,15,1809,The Tradition,12 oz.,American Blonde Ale
859,6.0%,"Ashland, OR",Caldera Brewing Company,N/A,1808,Pilot Rock Porter,12 oz.,American Porter
860,4.3%,"Portland, ME",Rising Tide Brewing Company,N/A,1807,Maine Island Trail Ale,16 oz.,American Pale Ale (APA)
861,8.8%,"Virginia Beach, VA",Beach Brewing Company,108,1806,Hoptopus Double IPA,16 oz.,American Double / Imperial IPA
862,4.2%,"Garden City, ID",Payette Brewing Company,35,1805,Rodeo Rye Pale Ale,12 oz.,American Pale Ale (APA)
863,6.6%,"Spearfish, SD",Crow Peak Brewing Company,N/A,1804,Mjöllnir,12 oz.,Herbed / Spiced Beer
864,6.5%,"Astoria, OR",Fort George Brewery,N/A,1803,Java the Hop,16 oz.,American IPA
865,5.0%,"Tampa, FL",Brew Bus Brewing,N/A,1802,"You're My Boy, Blue",12 oz.,Fruit / Vegetable Beer
866,7.2%,"Tampa, FL",Brew Bus Brewing,60,1801,Last Stop IPA,12 oz.,American IPA
867,5.0%,"Tampa, FL",Brew Bus Brewing,21,1800,Rollin Dirty Red Ale,12 oz.,Irish Red Ale
868,5.5%,"Tampa, FL",Brew Bus Brewing,28,1799,Are Wheat There Yet?,12 oz.,American Pale Wheat Ale
869,5.0%,"Boise, ID",Sockeye Brewing Company,N/A,1798,Thanksgiving Ale,12 oz.,Kölsch
870,5.0%,"San Francisco, CA",Pine Street Brewery,N/A,1797,Black Bay Milk Stout,12 oz.,Milk / Sweet Stout
871,???,"Longmont, CO",Oskar Blues Brewery,N/A,1796,The CROWLER™,32 oz.,
872,6.5%,"Woodinville, WA",Dirty Bucket Brewing Company,72,1795,Filthy Hoppin' IPA,16 oz.,American IPA
873,4.5%,"Lafayette, IN",People's Brewing Company,N/A,1794,People's Pilsner,12 oz.,German Pilsener
874,5.5%,"Nashville, TN",Jackalope Brewing Company,37,1793,Thunder Ann,12 oz.,American Pale Ale (APA)
875,5.8%,"Meridian, ID",Slanted Rock Brewing Company,39,1792,Iron Butt Red Ale,12 oz.,American Amber / Red Ale
876,6.0%,"Bucryus, MO",Piney River Brewing Company,20,1791,Hot Date Ale,16 oz.,Chile Beer
877,???,"Longmont, CO",Oskar Blues Brewery,N/A,1790,CAN'D AID Foundation,12 oz.,
878,4.9%,"Avon, IN",Cutters Brewing Company,N/A,1789,Lost River Blonde Ale,16 oz.,American Blonde Ale
879,5.4%,"Avon, IN",Cutters Brewing Company,N/A,1788,Monon Wheat,16 oz.,Witbier
880,8.0%,"Avon, IN",Cutters Brewing Company,N/A,1787,Floyd's Folly,16 oz.,Scottish Ale
881,6.3%,"Avon, IN",Cutters Brewing Company,N/A,1786,Half Court IPA,16 oz.,American IPA
882,7.3%,"Grand Rapids, MI",Brewery Vivant,N/A,1785,Le Flaneur Ale,16 oz.,American Wild Ale
883,???,"Wilmington, DE",Iron Hill Brewery & Restaurant,N/A,1784,Appreciation Ale,16 oz.,American IPA
884,7.2%,"Belfast, ME",Marshall Wharf Brewing Company,N/A,1783,Toughcats IPA,16 oz.,American IPA
885,6.3%,"Lansdale, PA",Round Guys Brewing,N/A,1782,Kiss Off IPA,12 oz.,American IPA
886,5.2%,"Cold Spring, MN",Third Street Brewhouse,N/A,1781,Three Way Pale Ale,12 oz.,American Pale Ale (APA)
887,4.1%,"Cold Spring, MN",Third Street Brewhouse,N/A,1780,Rise to the Top,12 oz.,Cream Ale
888,4.9%,"Cold Spring, MN",Third Street Brewhouse,N/A,1779,Lost Trout Brown Ale,12 oz.,American Brown Ale
889,7.0%,"Lewiston, ME",Baxter Brewing Company,42,1778,On the Count of 3 (2015),16 oz.,Hefeweizen
890,7.4%,"Los Angeles, CA",Golden Road Brewing,74,1777,2020 IPA,16 oz.,American IPA
891,4.5%,"Williamsburg, MA",Banner Beer Company,N/A,1776,All Nighter Ale,12 oz.,Extra Special / Strong Bitter (ESB)
892,5.3%,"Providence, RI",Narragansett Brewing Company,30,1775,Autocrat Coffee Milk Stout,16 oz.,Milk / Sweet Stout
893,5.5%,"Austin, TX",Infamous Brewing Company,20,1774,Hijack,12 oz.,Cream Ale
894,4.5%,"Centralia, WA",Dick's Brewing Company,N/A,1773,12 Man Pale Ale,12 oz.,American Pale Ale (APA)
895,6.7%,"Claremont, CA",Claremont Craft Ales,60,1772,Jacaranada Rye IPA,16 oz.,American IPA
896,5.0%,"Lockland, OH",Rivertown Brewing Company,55,1771,Lil SIPA,16 oz.,American IPA
897,9.2%,"Meadville, PA",Voodoo Brewery,25,1770,Voodoo Love Child,12 oz.,Tripel
898,7.9%,"Meadville, PA",Voodoo Brewery,23,1769,White Magick of the Sun,12 oz.,Witbier
899,5.3%,"Columbus, OH",Seventh Son Brewing Company,20,1768,Stone Fort Brown Ale,16 oz.,English Brown Ale
900,7.7%,"Columbus, OH",Seventh Son Brewing Company,40,1767,Seventh Son Hopped Red Ale,16 oz.,American Amber / Red Ale
901,6.0%,"Columbus, OH",Seventh Son Brewing Company,53,1766,Humulus Nimbus Super Pale Ale,16 oz.,American Pale Ale (APA)
902,7.0%,"Columbus, OH",Seventh Son Brewing Company,68,1765,Golden Ratio IPA,16 oz.,American IPA
903,8.1%,"Export, PA",Rivertowne Brewing Company,N/A,1764,Rudolph's Red,12 oz.,American Amber / Red Ale
904,4.5%,"Portland, ME",D.L. Geary Brewing Company,N/A,1763,Geary's Pale Ale,12 oz.,English Pale Ale
905,9.5%,"Broomfield, CO",Big Choice Brewing,104,1762,Hemlock Double IPA,12 oz.,American Double / Imperial IPA
906,6.9%,"Black Mountain, NC",Pisgah Brewing Company,51,1760,GreyBeard™ IPA,12 oz.,American IPA
907,5.7%,"Black Mountain, NC",Pisgah Brewing Company,31,1759,Pisgah Pale Ale,12 oz.,American Pale Ale (APA)
908,6.6%,"Croydon, PA",Neshaminy Creek Brewing Company,N/A,1758,County Line IPA,12 oz.,American IPA
909,4.8%,"Croydon, PA",Neshaminy Creek Brewing Company,N/A,1757,Trauger Pilsner,12 oz.,German Pilsener
910,5.6%,"Saint Louis, MO",Morgan Street Brewery,18,1756,When Helles Freezes Over,12 oz.,Munich Helles Lager
911,7.0%,"Baton Rouge, LA",Tin Roof Brewing Company,60,1755,Juke Joint IPA,12 oz.,American IPA
912,7.0%,"Baton Rouge, LA",Tin Roof Brewing Company,35,1754,Parade Ground Coffee Porter,12 oz.,American Porter
913,7.0%,"Chicago, IL",Half Acre Beer Company,N/A,1753,Heyoka IPA,16 oz.,American IPA
914,???,"Longmont, CO",Oskar Blues Brewery,N/A,1752,Icey.P.A.,16 oz.,American IPA
